epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,34991.6,1.76696,2.04619,2.79377,0.86323,0.8626,0.88848,0.74626,1.46928,1.08007,2.54384,0.0074755,0.0074755,0.0074755
104,35339.7,1.76695,2.08272,2.79567,0.91811,0.83843,0.91368,0.7658,1.38986,1.16512,2.48137,0.00745075,0.00745075,0.00745075
105,35685.7,1.74404,2.01445,2.77569,0.91165,0.87072,0.91042,0.76218,1.46434,1.13592,2.5527,0.007426,0.007426,0.007426
106,36029.1,1.74772,2.07123,2.79733,0.88964,0.84398,0.88415,0.74637,1.43089,1.28354,2.54362,0.00740125,0.00740125,0.00740125
107,36371.8,1.73103,2.06512,2.78989,0.9311,0.84545,0.89741,0.74869,1.37787,1.20267,2.50573,0.0073765,0.0073765,0.0073765
108,36714.4,1.74371,2.00272,2.78206,0.9085,0.85394,0.91075,0.75309,1.4869,1.09619,2.58913,0.00735175,0.00735175,0.00735175
109,37055.9,1.74516,2.03299,2.78482,0.90145,0.85842,0.90942,0.7652,1.45649,1.08039,2.53742,0.007327,0.007327,0.007327
110,37397.8,1.73067,2.00589,2.76241,0.88283,0.87965,0.89839,0.74571,1.46716,1.19523,2.60725,0.00730225,0.00730225,0.00730225
111,37739.2,1.75873,2.052,2.78327,0.9065,0.85252,0.88941,0.73922,1.46096,1.2296,2.58106,0.0072775,0.0072775,0.0072775
112,38080.3,1.73654,1.98238,2.77622,0.88913,0.86904,0.90489,0.75962,1.41594,1.22739,2.47682,0.00725275,0.00725275,0.00725275
113,38422.2,1.71642,1.98558,2.76642,0.91967,0.84947,0.90476,0.7509,1.49974,1.22344,2.5594,0.007228,0.007228,0.007228
114,38763.5,1.71497,2.0201,2.7682,0.89115,0.87377,0.90287,0.75867,1.46775,1.17455,2.57239,0.00720325,0.00720325,0.00720325
115,39104.4,1.72078,1.95224,2.77132,0.86763,0.89857,0.90873,0.76316,1.43983,1.18322,2.51504,0.0071785,0.0071785,0.0071785
116,39445.5,1.73534,1.96445,2.77032,0.84917,0.90956,0.90995,0.7591,1.49085,1.17445,2.54996,0.00715375,0.00715375,0.00715375
117,39786,1.73052,1.95928,2.75701,0.86454,0.83994,0.89273,0.75807,1.39671,1.1621,2.46474,0.007129,0.007129,0.007129
118,40127.4,1.70227,1.99111,2.74509,0.88898,0.86268,0.91448,0.76195,1.39441,1.14507,2.54304,0.00710425,0.00710425,0.00710425
119,40467.9,1.70326,1.96205,2.74821,0.87916,0.89354,0.92789,0.77405,1.38839,1.06444,2.50722,0.0070795,0.0070795,0.0070795
120,40812.5,1.71192,1.97091,2.7509,0.90328,0.8823,0.91894,0.78162,1.34316,1.12638,2.43597,0.00705475,0.00705475,0.00705475
121,41153.3,1.72183,1.97066,2.77682,0.90863,0.86047,0.91711,0.78667,1.3068,1.14073,2.37202,0.00703,0.00703,0.00703
122,41494.1,1.69313,1.93885,2.76098,0.85986,0.87879,0.90902,0.77333,1.40114,1.14997,2.50573,0.00700525,0.00700525,0.00700525
123,41834.8,1.69074,1.92993,2.75194,0.86992,0.8677,0.91258,0.76766,1.39193,1.18121,2.52149,0.0069805,0.0069805,0.0069805
124,42175.3,1.70507,1.95281,2.75895,0.91487,0.83,0.91043,0.76885,1.39347,1.16574,2.52066,0.00695575,0.00695575,0.00695575
125,42515.8,1.69407,1.92832,2.74502,0.90317,0.84998,0.91086,0.77876,1.40373,1.20791,2.49921,0.006931,0.006931,0.006931
126,42856.1,1.68596,1.93691,2.73687,0.91377,0.84041,0.89542,0.75863,1.39751,1.21466,2.50704,0.00690625,0.00690625,0.00690625
127,43197.2,1.70291,1.94494,2.74801,0.87757,0.87159,0.91,0.78092,1.37215,1.16846,2.48533,0.0068815,0.0068815,0.0068815
128,43537.9,1.67512,1.86385,2.72436,0.85342,0.89192,0.90778,0.76403,1.37507,1.14366,2.50913,0.00685675,0.00685675,0.00685675
129,43877.8,1.71001,1.99075,2.75423,0.89422,0.86732,0.90283,0.78369,1.30396,1.11185,2.39404,0.006832,0.006832,0.006832
130,44217.4,1.68549,1.86582,2.72975,0.891,0.89069,0.91955,0.78893,1.31837,1.02398,2.42549,0.00680725,0.00680725,0.00680725
131,44558,1.69442,1.90808,2.73815,0.91724,0.88859,0.91914,0.79048,1.32458,1.08203,2.39217,0.0067825,0.0067825,0.0067825
132,44898,1.68093,1.90814,2.74254,0.91381,0.87594,0.91848,0.78115,1.31353,1.16327,2.3788,0.00675775,0.00675775,0.00675775
133,45238.5,1.68384,1.9008,2.73671,0.89292,0.87857,0.92039,0.78592,1.35518,1.12696,2.41331,0.006733,0.006733,0.006733
134,45578.8,1.68308,1.89045,2.74011,0.89622,0.87844,0.91398,0.78567,1.32155,1.17912,2.37161,0.00670825,0.00670825,0.00670825
135,45919.3,1.68213,1.9203,2.73965,0.93499,0.84333,0.90804,0.77641,1.36382,1.15139,2.43702,0.0066835,0.0066835,0.0066835
136,46259.8,1.66469,1.85782,2.72534,0.93053,0.85684,0.90952,0.7798,1.37168,1.11418,2.4564,0.00665875,0.00665875,0.00665875
137,46599.5,1.65508,1.83788,2.70432,0.91783,0.85924,0.91168,0.78291,1.33482,1.09744,2.44199,0.006634,0.006634,0.006634
138,46939.9,1.65655,1.84691,2.70847,0.91472,0.84017,0.90786,0.78773,1.35559,1.12052,2.44931,0.00660925,0.00660925,0.00660925
139,47280.9,1.66347,1.87388,2.71507,0.91624,0.84737,0.91569,0.78658,1.3328,1.08945,2.43874,0.0065845,0.0065845,0.0065845
140,47622.7,1.66901,1.90421,2.73118,0.91772,0.85124,0.91536,0.78057,1.32292,1.10649,2.44805,0.00655975,0.00655975,0.00655975
141,47966.1,1.66412,1.92518,2.71949,0.91342,0.87413,0.91548,0.79123,1.2868,1.07042,2.43533,0.006535,0.006535,0.006535
142,48306.2,1.64338,1.86889,2.70033,0.89602,0.8751,0.91682,0.79211,1.27979,1.14429,2.44441,0.00651025,0.00651025,0.00651025
143,48646.7,1.64579,1.82638,2.70398,0.90433,0.85917,0.91675,0.78904,1.30822,1.11669,2.49652,0.0064855,0.0064855,0.0064855
144,48987.1,1.64713,1.8358,2.69587,0.89177,0.8898,0.92358,0.79102,1.30153,1.09345,2.50047,0.00646075,0.00646075,0.00646075
145,49327.5,1.6515,1.8413,2.70243,0.9036,0.87511,0.92089,0.79156,1.33977,1.04926,2.54115,0.006436,0.006436,0.006436
146,49667.8,1.64206,1.79904,2.6918,0.91573,0.87282,0.92491,0.79399,1.31252,1.10904,2.48077,0.00641125,0.00641125,0.00641125
147,50009.2,1.64235,1.84982,2.69944,0.91685,0.88312,0.91838,0.78348,1.33326,1.14346,2.48323,0.0063865,0.0063865,0.0063865
148,50353.4,1.63117,1.82554,2.678,0.916,0.88307,0.92513,0.78037,1.32487,1.11462,2.46651,0.00636175,0.00636175,0.00636175
149,50693.4,1.64186,1.82144,2.69632,0.89996,0.88182,0.92263,0.79811,1.27709,1.09529,2.43003,0.006337,0.006337,0.006337
150,51033.3,1.63058,1.8079,2.68205,0.8898,0.86452,0.92024,0.79336,1.29142,1.13441,2.4359,0.00631225,0.00631225,0.00631225
151,51372.9,1.64115,1.78233,2.69805,0.91266,0.86092,0.91776,0.78653,1.33342,1.06707,2.50014,0.0062875,0.0062875,0.0062875
152,51712.7,1.64526,1.8025,2.69765,0.91323,0.87658,0.908,0.78251,1.31809,1.12864,2.45364,0.00626275,0.00626275,0.00626275
153,52052.5,1.62803,1.83127,2.69997,0.91433,0.87284,0.91448,0.79438,1.31129,1.11744,2.42616,0.006238,0.006238,0.006238
154,52392.1,1.63443,1.8205,2.69954,0.90527,0.87839,0.91681,0.79405,1.30411,1.08201,2.40884,0.00621325,0.00621325,0.00621325
155,52732.4,1.6395,1.82309,2.6867,0.90319,0.87404,0.9097,0.78783,1.31746,1.10229,2.42537,0.0061885,0.0061885,0.0061885
156,53072.1,1.60797,1.77834,2.67254,0.88755,0.88885,0.91016,0.78832,1.31722,1.09318,2.41862,0.00616375,0.00616375,0.00616375
